8강기룡이	10000	1200	152
광교산김기룡	9830	1002	251
김철수	9821	999	260
기룡몬	9782	953	300
코딩킹왕짱	9777	999	430
25학번기룡	9349	910	321
타일명탐정	9000	823	421
코딩하는감자	4100	200	15
멋쟁이햄스터	2910	319	21
명탐정기룡	2211	241	50
말하는감자	1932	151	22
감자몬	3913	600	140
햄스터왕	1842	1054	163
코딩짱	4353	918	232
햄스터기룡	9057	318	184
탐정명탐정	8582	1082	221
김철수명탐정	3398	1020	435
기룡몬	4161	807	492
강기룡왕	8419	486	489
감자왕	5550	815	213
코딩기룡	8745	1048	168
기룡명탐정	4746	551	475
강기룡기룡	4052	754	102
강기룡짱	3097	687	172
강기룡기룡	7989	1099	269
감자기룡	4144	690	420
강기룡짱	7493	302	267
탐정왕	6845	233	208
기룡몬	3284	369	410
탐정왕	4621	840	495
햄스터기룡	8700	186	450
탐정왕	7639	385	178
25학번명탐정	5148	555	385
강기룡몬	7458	436	405
햄스터왕	7633	871	197
강기룡왕	1566	492	389
코딩짱	9863	635	65
햄스터명탐정	2344	712	164
감자짱	6225	1168	444
멋쟁이짱	4621	549	222
코딩명탐정	4871	1072	399
25학번기룡	8850	347	56
햄스터기룡	9287	815	75
햄스터몬	9043	1190	63
25학번짱	6152	842	498
멋쟁이몬	6314	209	326
김철수짱	7141	475	256
코딩짱	6953	818	171
25학번명탐정	9353	423	442
강기룡왕	9933	507	293
